,times,values
736,1627344006.136,2213
737,1627344006.144,2210
738,1627344006.152,2208
739,1627344006.16,2206
740,1627344006.168,2201
741,1627344006.176,2194
742,1627344006.184,2186
743,1627344006.192,2178
744,1627344006.2,2176
745,1627344006.208,2182
746,1627344006.216,2195
747,1627344006.224,2209
748,1627344006.232,2219
749,1627344006.24,2225
750,1627344006.248,2225
751,1627344006.256,2220
752,1627344006.264,2213
753,1627344006.272,2211
754,1627344006.28,2217
755,1627344006.288,2228
756,1627344006.296,2237
757,1627344006.304,2236
758,1627344006.312,2225
759,1627344006.32,2212
760,1627344006.328,2205
761,1627344006.336,2204
762,1627344006.344,2207
763,1627344006.352,2213
764,1627344006.36,2221
765,1627344006.368,2229
766,1627344006.376,2234
767,1627344006.384,2236
768,1627344006.392,2236
769,1627344006.4,2235
770,1627344006.408,2231
771,1627344006.416,2224
772,1627344006.424,2217
773,1627344006.432,2211
774,1627344006.44,2209
775,1627344006.448,2212
776,1627344006.456,2217
777,1627344006.464,2221
778,1627344006.472,2223
779,1627344006.48,2222
780,1627344006.488,2218
781,1627344006.496,2215
782,1627344006.504,2214
783,1627344006.512,2214
784,1627344006.52,2213
785,1627344006.528,2210
786,1627344006.536,2206
787,1627344006.544,2203
788,1627344006.552,2199
789,1627344006.56,2195
790,1627344006.568,2191
791,1627344006.576,2191
792,1627344006.584,2192
793,1627344006.592,2194
794,1627344006.6,2195
795,1627344006.608,2194
796,1627344006.616,2193
797,1627344006.624,2195
798,1627344006.632,2201
799,1627344006.64,2209
800,1627344006.648,2213
801,1627344006.656,2208
802,1627344006.664,2194
803,1627344006.672,2180
804,1627344006.68,2176
805,1627344006.688,2188
806,1627344006.696,2213
807,1627344006.704,2239
808,1627344006.712,2257
809,1627344006.72,2265
810,1627344006.728,2265
811,1627344006.736,2261
812,1627344006.744,2259
813,1627344006.752,2265
814,1627344006.76,2276
815,1627344006.768,2281
816,1627344006.776,2275
817,1627344006.784,2263
818,1627344006.792,2255
819,1627344006.8,2251
820,1627344006.808,2250
821,1627344006.816,2248
822,1627344006.824,2244
823,1627344006.832,2242
824,1627344006.84,2244
825,1627344006.848,2249
826,1627344006.856,2254
827,1627344006.864,2256
828,1627344006.872,2253
829,1627344006.88,2248
830,1627344006.888,2243
831,1627344006.896,2238
832,1627344006.904,2234
833,1627344006.912,2231
834,1627344006.92,2232
835,1627344006.928,2234
836,1627344006.936,2237
837,1627344006.944,2240
838,1627344006.952,2242
839,1627344006.96,2243
840,1627344006.968,2243
841,1627344006.976,2240
